"gene","1","8","9","12","14","15","19","27","31"
"CG45784",1,1,1,1,1,1,1,1,1
"CG45783",0,0,0,0,0,0,0,0,0
"Parp",1,1,0.19,1,0.99,0.98,1,1,1
"Alg-2",0,0,0,0,0,0,0,0,0
"Tim17b",1,1,1,1,1,1,1,1,1
"CG41128",1,1,1,1,1,1,1,1,1
"CG41099",0,0,0,0,0,0,0,0,0
"CG42402",0,0,0,0.99,0,0.05,0,1,0
"Gfat1",0,0,0,0,0,0,0,0,0
"CG40198",0,0,0,0,0,0,0,0,0
"CG12581",0,0,0,0,0,0,0,0,0
"CG12582",0,0,0,0,0,0,0,0,0
"CG14636",0,0,0,0,0,0,0,0,0
"aux",0,0,0,0,0,0,0,0,0
"DhpD",0,0,0,0.01,0,0,0,0,0
"CG14641",1,0.89,0,1,1,1,1,1,1
"abs",0.02,0,0,0,0,0,0,0.09,0
"Gel",0,0,0,0,0,0,0,0,0
"CG14642",0,0,0,0,0,0,0,0,0
"CG34305",0,0,0,0,0,0,0,0,0
"TwdlU",0,0,0,0,0,0,0,0,0
"TwdlG",0,0,0,0,0,0,0,0,0
"TwdlV",0,0,0,0,0,0,0,0,0
"CG1092",0,0,0,0,0,0,0,0,0
"CG9766",0,0,0,0,0,0,0,0,0
"cpx",0.97,1,1,1,1,1,1,1,1
"CG9780",0,0,0,0,0,0,0,0,0
"MP1",0,0,0,0,0,0,0,0,0
"Vps24",1,1,0,1,0.98,1,1,1,1
"CG9791",0,0,0.89,0,0,0,0,0,0
"Syt14",0,0,0,0,0,0,0,0,0
"CG9795",0,0,0,0,0,0,0,0,0
"CG9776",0.06,0,0.13,0,0.98,0,0,0,0
"Skp2",0,0,0,0,0,0,0,0,0
"CG1103",0,0,0,0,0,0,0,0,0
"CG1090",0.27,0.95,0,1,1,1,1,0.99,1
"CR44922",0,0,0.01,0,0,0,0,0,0
"CG11739",0,0,0,0,0,0,0,0.99,0
"Cont",0,0,0,0,0,0,0,0,0
"tub",0,0,0,0.23,0,0,0,0,0
"CG14646",0,0,0,0,0,0,0,0,0
"CG34112",0,0,0,0,0,0,0,0,0
"CR45999",0,0,0,0,0,0,0,0,0
"CG9855",0,0,0,0,0,0,0,0,0
"CG9853",0,0,0,0,0,0,0,0,0
"CG14647",0,0,0,0,0,0,0,0,0
"CR45187",0,0,0,0,0,0,0,0,0
"lost",1,1,1,1,1,1,1,1,1
"CG32944",0,0,0,0,0,0,0,0,0
"CG31528",0,0,0,0,0,0,0,0,0
"srl",0,0,0,0,0,0,0,0,0
"eIF3-S10",1,1,0.42,1,1,1,1,1,1
"CG1074",0,0,0,0,0,0,0,0,0
"CG9804",0,0,0,0.68,0,0,0,0,0
"CR44134",0,0,0,0,0,0,0,0,0
"CG14650",0.02,0.05,0,0.01,0,0.01,0.04,0.02,0.02
"CG31522",0,0.89,0,0,0,0,0,0,0
"CR43629",0,0,0,0,0,0,0,0,0
"CG31523",0,0,0,0,0,0,0,0,0
"Fip1",0,0,0,0,0,0,0,0,0
"CG34357",0,0,0,0,0,0,0,0,0
"CR45558",0,0,0,0,0,0,0,1,0
"CR44317",0,0,0,0,0,0,0,1,0
"5-HT2A",0,0,0.87,1,0,0,0,1,0
"CR45673",0,0,0,0,0,0,0,0,0
"CG9775",1,1,0,1,1,1,1,1,1
"MED31",0,0,0,0,0,0,0,0,0
"slx1",0,0,0,0,1,0,0,0,0
"Dip2",0,0,0,0,0,0,0,0,0
"rpk",0,0,0,0,0,0,0,0,0
"Karybeta3",0,0,0,0,0,0,0,0,0.01
"spartin",0,0,0,0,0,0,0,0,0
"CG43427",0,0,0,0,0,0,0,0,0
"CG33927",0,0,0,0,0,0,0,0,0
"CG9769",1,1,0,1,1,1,1,1,1
"CR44923",0,0,0,0,0,0,0,0,0
