"gene","1","8","9","12","14","15","19","27","31"
"CG45784",1,1,1,1,1,1,1,1,1
"CG45783",0,0,0,0,0,0,0,0,0
"spok",0,0,0,0,0,0,0,0,0
"Parp",1,0.99,1,1,1,1,1,1,1
"Alg-2",0,0,0,0,0,0,0,0,0
"Tim17b",1,1,1,1,1,1,1,1,1
"CG41128",1,1,1,1,1,1,1,1,1
"CG41099",0,0,0,0,0,0,0,0,0
"CG42402",0,0,0,0,0,0.03,0,0.62,0.69
"Gfat1",0,0,0,0,0,0,0,0,0
"CG40198",0,0,0,0,0,0,0,0,0
"CG12581",0,0,0,0,0,0,0,0,0
"CR33294",0,0,0,0,0,0,0,0,0
"Dsk",0,0,0,0,0,0,0,0,0
"CG12582",0,0,0,0,0,0,0,0,0
"CG14636",0,0,0,0,0,0,0,0,0
"aux",0,0,0,0.03,0,0,0,0,0
"DhpD",0,0,0.31,0,1,0,0,0,0
"CG14641",0.99,0.45,1,0.59,1,0.95,0.98,0.94,0.99
"abs",0,0,0,0,0,0.12,0,0.14,0
"Gel",0,0,0,0,0,0,0,0,0
"CG14642",0,0,0,0,0,0,0,0,0
"CG34305",0,0,0,0,0,0,0,0,0
"TwdlU",0,0,0,0,0,0,0,1,0
"TwdlG",0,0,0,0,0,0,0,0,0
"CG14644",0,0,0,0,0,0,0,0,0
"TwdlV",0,0,0,0,0,0,0,0,0
"CG1092",0,0,0,0,0,0,0,0,0
"CG9766",0,0,0,0,0,0,0,0,0
"cpx",0,0.97,1,1,1,1,1,1,1
"CG9780",0,0,0,0,0,0,0,0,0
"MP1",0,0,0,0,0,0,0,0,0
"Vps24",0,0,0,0,0,0,0,0,0
"CG9791",0,0,0.99,0,0,0,0,0,0
"Syt14",0,0,0,0,0,0,0,0,0
"CG9795",0,0,0,0,0,0,0,0,0
"CG9776",0.01,0,0.17,0,0,0.02,0,0,0
"Skp2",0,0,0,0,0,0,0,0,0
"CG1103",0,0,0.08,0,0,0,0,0,0
"CG1090",0.55,0.05,1,0.72,0.99,1,0.99,1,1
"CR44922",0,0,0,0,0.71,0,0,0,0
"CG11739",0,0,0,0.07,1,0,0.86,0.02,0
"Cont",0,0,0,0,0,0,0,0.59,0
"tub",0,0,0,0,1,0,0,0,0
"CG14646",0,0,0,0.01,0,0,0,0.09,0
"CG34112",0,0,0,0,0,0,0,0,0
"CR45999",0,0,0,0,0,0,0,0,0
"CG9855",0,0,0,0,0,0,0,0,0
"CG9853",0,0,0,0,0,0,0,0,0
"CG14647",0,0,0.31,0,0,0,0,0.01,0
"CR45187",0,0,0,0,0,0,0,0,0
"lost",0,0,0,0,0,0,0,0,0
"CG32944",0,0,0,0,0,0,0.04,0.42,1
"srl",0,0,0,0,1,0,0,0,0
"eIF3-S10",1,1,1,1,1,1,1,1,1
"CG1074",0,0,0,1,0,0,0,0,0
"CG9804",0,0,0,0,0,0,0,0,0
"CR44134",0,0,0,0,0,0,0,0,0
"CG14650",0,0,0,0,0,0,0,0,0
"CG31522",0,0.01,0.02,0,0,0,0,0.02,0
"CR43629",0,0,0,0,0,0,0,0,0
"CG31523",0,0.05,0,0,0,0,0,0,0
"Fip1",0,0,0,0,0,0,0,0,0
"CG34357",0,0,0,0,0,0,0,0,0
"CR45558",0,0,0,0,0,0,0,0,0
"CR44317",0,0,0,0,0,0,0,0,0
"5-HT2A",0,0,1,1,0,0,0,0,0
"CR45673",0,0,0,0,0,0,0,0,0
"CG9775",0.98,0.05,0.09,0.99,1,1,1,1,1
"MED31",0.96,0.84,0.83,0.64,0.84,0.96,0.86,0.18,0.99
"slx1",0,0,0,0,0,0,0,0,0
"Dip2",0,0,0.84,0,0,0,0,0,0
"Karybeta3",0,0,0,0,0,0,0,0,0
"spartin",0,0,0,0,0,0,0,0,0
